"Year","Month","DiversityCoeff"
1985,1,0.112177675322126
1985,2,0.091192805471506
1985,3,0.0774803967907053
1985,4,0.0762814805396228
1985,5,0.0813658073397253
1985,6,0.0674981504911107
1985,7,0.0709008737162783
1985,8,0.0797151986941158
1985,9,0.0676004224667685
1985,10,0.0669406173767617
1985,11,0.0629897383839175
1985,12,0.0514451746495305
1986,1,0.0943194130110614
1986,2,0.107466463458805
1986,3,0.100091705370704
1986,4,0.144371316462938
1986,5,0.14521444962136
1986,6,0.0933687098093396
1986,7,0.1052675940781
1986,8,0.140264042452795
1986,9,0.153589930705572
1986,10,0.143338617556831
1986,11,0.165919762791695
1986,12,0.151486101354113
1987,1,0.205987500851249
1987,2,0.190593586984401
1987,3,0.185172477274337
1987,4,0.172224045830966
1987,5,0.168282265979748
1987,6,0.176259449994149
1987,7,0.186255649794461
1987,8,0.207243081971172
1987,9,0.196086898398871
1987,10,0.177926769767981
1987,11,0.188820096063123
1987,12,0.162676425425425
1988,1,0.162038209964039
1988,2,0.152421415303257
1988,3,0.159698880147738
1988,4,0.143967321523181
1988,5,0.182760976314114
1988,6,0.180671265672654
1988,7,0.200131672901908
1988,8,0.168673626111535
1988,9,0.204092088896242
1988,10,0.201374706254622
1988,11,0.216472320853842
1988,12,0.193749160859551
1989,1,0.125898673836537
1989,2,0.155651350658148
1989,3,0.139728559338355
1989,4,0.131603770740965
1989,5,0.122226741198362
1989,6,0.133903894826004
1989,7,0.132111620481126
1989,8,0.136128698264179
1989,9,0.121952688789488
1989,10,0.110561125577904
1989,11,0.126783268440438
1989,12,0.114446198041204
1990,1,0.0997096393300308
1990,2,0.132573244652018
1990,3,0.17105552489049
1990,4,0.143124939070631
1990,5,0.15901065114128
1990,6,0.149341967148325
1990,7,0.154848797881352
1990,8,0.122495094583774
1990,9,0.126695213062568
1990,10,0.127686949277304
1990,11,0.121823487848319
1990,12,0.125282003885089
1991,1,0.11307478111302
1991,2,0.117024000618583
1991,3,0.0789220816894507
1991,4,0.0890849336237863
1991,5,0.093497034848765
1991,6,0.0978983289464856
1991,7,0.0639024177432075
1991,8,0.0672697011184658
1991,9,0.0743797571552087
1991,10,0.107414151762925
1991,11,0.129232216468027
1991,12,0.128932262411455
1992,1,0.143249611690423
1992,2,0.0960624246681064
1992,3,0.12597725031712
1992,4,0.139764269721292
1992,5,0.157194768956246
1992,6,0.130786446399213
1992,7,0.130901215813224
1992,8,0.11929343813992
1992,9,0.114204374767861
1992,10,0.104763784976004
1992,11,0.0732516555493278
1992,12,0.0813967130355163
1993,1,0.104013798766717
1993,2,0.102098014651018
1993,3,0.088565083509533
1993,4,0.0695772532248404
1993,5,0.0424206815469054
1993,6,0.0733411917183921
1993,7,0.0694035100871998
1993,8,0.0763500194874937
1993,9,0.0875877409638937
1993,10,0.117308449531644
1993,11,0.101657181662371
1993,12,0.0968560730448788
1994,1,0.0663155743922312
1994,2,0.0782371999169797
1994,3,0.0571242752369164
1994,4,0.0542546632729189
1994,5,0.0530181402815546
1994,6,0.0865160989188435
1994,7,0.0861749080106705
1994,8,0.0810509932689799
1994,9,0.088696498174961
1994,10,0.105371341399388
1994,11,0.0900086480110274
1994,12,0.11679104353967
1995,1,0.0841332348415085
1995,2,0.145446105303459
1995,3,0.134405198868193
1995,4,0.157844314012714
1995,5,0.127645631754036
1995,6,0.134627665648856
1995,7,0.147500210927528
1995,8,0.124524607377498
1995,9,0.122345746588604
1995,10,0.120854290114811
1995,11,0.125952958450044
1995,12,0.102482078989165
1996,1,0.0869738927839655
1996,2,0.0716847844278666
1996,3,0.0908877189107261
1996,4,0.0910336575734704
1996,5,0.0775079279059582
1996,6,0.0902711710017695
1996,7,0.0593678990825839
1996,8,0.0508795078192168
1996,9,0.0420872349173466
1996,10,0.0447270802948066
1996,11,0.0364064270134567
1996,12,0.0351350436061914
1997,1,0.0417037199851921
1997,2,0.0472448508590737
1997,3,0.0414658652087058
1997,4,0.0723520904686904
1997,5,0.0590855660707888
1997,6,0.0715073616825852
1997,7,0.0819482904713071
1997,8,0.0731625051784054
1997,9,0.0773155171433339
1997,10,0.0736325634899825
1997,11,0.090881494533156
1997,12,0.0912109711155928
1998,1,0.0898286359519706
1998,2,0.079445238483641
1998,3,0.0587669964934796
1998,4,0.0603633424935924
1998,5,0.0296242533879583
1998,6,0.0651959789091652
1998,7,0.0791387281748551
1998,8,0.0971278258378744
1998,9,0.0956297909387148
1998,10,0.108990796481677
1998,11,0.107589263449984
1998,12,0.0935574848128022
1999,1,0.107060520612914
1999,2,0.100196051664256
1999,3,0.0904185866329981
1999,4,0.0893319422871216
1999,5,0.100961290285208
1999,6,0.104824678204678
1999,7,0.105219390000026
1999,8,0.0933993196625273
1999,9,0.108989496118672
1999,10,0.110076544506229
1999,11,0.11307163311611
1999,12,0.0986466749911546
2000,1,0.0658225531634762
2000,2,0.0502997988474115
2000,3,0.0564185862922483
2000,4,0.0514767244203819
2000,5,0.0837090780617178
2000,6,0.0616108709806402
2000,7,0.06183336455514
2000,8,0.0510043306177859
2000,9,0.0599153156925052
2000,10,0.0652827183867999
2000,11,0.034873989435997
2000,12,0.0280792266439653
2001,1,0.0285006185597736
2001,2,0.0523509094480551
2001,3,0.0875853658711428
2001,4,0.109995530863859
2001,5,0.105323007425994
2001,6,0.109645953544155
2001,7,0.110060941360492
2001,8,0.0962696354663195
2001,9,0.142345620591956
2001,10,0.125064818516778
2001,11,0.117137732364977
2001,12,0.118818057234764
2002,1,0.0993479324204811
2002,2,0.132853075327623
2002,3,0.136773796457689
2002,4,0.124130661437516
2002,5,0.0922415790053032
2002,6,0.125152619520453
2002,7,0.14489546317468
2002,8,0.12869596533508
2002,9,0.137183781927645
2002,10,0.145059860139207
2002,11,0.152916727674223
2002,12,0.165605313561617
2003,1,0.174365657362046
2003,2,0.175469745656743
2003,3,0.179300346424738
2003,4,0.163877941890244
2003,5,0.141640707005079
